Name,Symbol
Adams Resources & Energy Inc. Common Stock,AE
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),AEB
Ameren Corporation Common Stock,AEE
Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,AEF
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
AEGON N.V. Common Stock,AEG
Aegion Corp Common Stock,AEGN
Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL
Aehr Test Systems Common Stock,AEHR
Advanced Energy Industries Inc. Common Stock,AEIS
American Equity Investment Life Holding Company Common Stock,AEL
American Equity Investment Life Holding Company,AEL.PRA
American Equity Investment Life Holding Company,AEL.PRB
Agnico Eagle Mines Limited Common Stock,AEM
Aethlon Medical Inc. Common Stock,AEMD
Aenza S.A.A. American Depositary Shares,AENZ
American Eagle Outfitters Inc. Common Stock,AEO
American Electric Power Company Inc. Common Stock,AEP
American Electric Power Company Inc. Corporate Unit,AEPPL
American Electric Power Company Inc. Corporate Units,AEPPZ
AerCap Holdings N.V. Ordinary Shares,AER
Aerie Pharmaceuticals Inc. Common Stock,AERI
The AES Corporation Common Stock,AES
Allied Esports Entertainment Inc. Common Stock,AESE
Anfield U.S. Equity Sector Rotation ETF,AESR
ADDvantage Technologies Group Inc. Common Stock,AEY
AudioEye Inc. Common Stock,AEYE
Aeterna Zentaris Inc. Common Stock,AEZS
AllianceBernstein National Municipal Income Fund Inc,AFB
Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,AFC
American Financial Group Inc. Common Stock,AFG
American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB
American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC
American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD
American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE
Armstrong Flooring Inc. Common Stock,AFI
Acutus Medical Inc. Common Stock,AFIB
American Finance Trust Inc. Class A Common Stock,AFIN
American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,AFINP
AFLAC Incorporated Common Stock,AFL
Affimed N.V.,AFMD
Apollo Senior Floating Rate Fund Inc. Common Stock,AFT
Afya Limited Class A Common Shares,AFYA
First Majestic Silver Corp. Ordinary Shares (Canada),AG
AGBA Acquisition Limited Ordinary Share,AGBA
AGBA Acquisition Limited Right,AGBAR
AGBA Acquisition Limited Unit,AGBAU
AGBA Acquisition Limited Warrant,AGBAW
Altimeter Growth Corp. Class A Ordinary Shares,AGC
AGCO Corporation Common Stock,AGCO
Altimeter Growth Corp. Unit,AGCUU
Altimeter Growth Corp. Warrant,AGCWW
Aberdeen Global Dynamic Dividend Fund,AGD
AgeX Therapeutics Inc. Common Stock,AGE
Agenus Inc. Common Stock,AGEN
AgroFresh Solutions Inc. Common Stock,AGFS
Alamos Gold Inc. Class A Common Shares,AGI
Agios Pharmaceuticals Inc. Common Stock,AGIO
Aeglea BioTherapeutics Inc. Common Stock,AGLE
Federal Agricultural Mortgage Corporation Common Stock,AGM
Federal Agricultural Mortgage Corporation Common Stock,AGM.A
Federal Agricultural Mortgage Corporation,AGM.PRC
Federal Agricultural Mortgage Corporation,AGM.PRD
Federal Agricultural Mortgage Corporation,AGM.PRE
Federal Agricultural Mortgage Corporation,AGM.PRF
AGM Group Holdings Inc. Class A Ordinary Shares,AGMH
AGNC Investment Corp. Common Stock,AGNC
AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN
AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO
AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP
Assured Guaranty Ltd. Common Stock,AGO
Assured Guaranty Ltd.,AGO.PRB
Assured Guaranty Ltd.,AGO.PRE
Assured Guaranty Ltd.,AGO.PRF
Avangrid Inc. Common Stock,AGR
Adecoagro S.A. Common Shares,AGRO
Agile Therapeutics Inc. Common Stock,AGRX
PlayAGS Inc. Common Stock,AGS
Applied Genetic Technologies Corporation Common Stock,AGTC
Argan Inc. Common Stock,AGX
Agilysys Inc. Common Stock,AGYS
Alpha Healthcare Acquisition Corp. Class A Common Stock,AHAC
Alpha Healthcare Acquisition Corp. Unit,AHACU
Alpha Healthcare Acquisition Corp. Warrant,AHACW
A.H. Belo Corporation (TX) Common Stock,AHC
AdaptHealth Corp. Class A Common Stock,AHCO
Armada Hoffler Properties Inc. Common Stock,AHH
Armada Hoffler Properties Inc.,AHH.PRA
Avadim Health Inc.,AHI
Aspen Insurance Holdings Limited,AHL.PRC
Aspen Insurance Holdings Limited,AHL.PRD
Aspen Insurance Holdings Limited,AHL.PRE
Allied Healthcare Products Inc. Common Stock,AHPI
Ashford Hospitality Trust Inc Common Stock,AHT
Ashford Hospitality Trust Inc,AHT.PRD
Ashford Hospitality Trust Inc,AHT.PRF
Ashford Hospitality Trust Inc,AHT.PRG
Ashford Hospitality Trust Inc,AHT.PRH
Ashford Hospitality Trust Inc,AHT.PRI
C3.ai Inc. Class A Common Stock,AI
Arlington Asset Investment Corp 6.750% Notes due 2025,AIC
Apollo Tactical Income Fund Inc. Common Stock,AIF
American International Group Inc. New Common Stock,AIG
American International Group Inc.,AIG.PRA
American International Group Inc. Warrant expiring January 19 2021,AIG.WS
Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,AIH
Senmiao Technology Limited Common Stock,AIHS
AIkido Pharma Inc. Common Stock,AIKI
AIM ImmunoTech Inc. Common Stock,AIM
Altra Industrial Motion Corp. Common Stock,AIMC
Albany International Corporation Common Stock,AIN
Ashford Inc. (Holding Company) Common Stock,AINC
Apollo Investment Corporation Common Stock,AINV
AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,AIO
AAR Corp. Common Stock,AIR
Apartment Income REIT Corp.,AIRC.WI
Airgain Inc. Common Stock,AIRG
Air Industries Group Common Stock,AIRI
Air T Inc. Common Stock,AIRT
Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP
Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 01/15/2021,AIRTW
Applied Industrial Technologies Inc. Common Stock,AIT
Apartment Investment and Management Company Common Stock,AIV
Apartment Investment and Management Company,AIV.WI
Arlington Asset Investment Corp 6.625% Notes due 2023,AIW
Assurant Inc. Common Stock,AIZ
Assurant Inc. 5.25% Subordinated Notes due 2061,AIZN
Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,AIZP
Ajax I Units each consisting of one Class A ordinary share and one-fourth of one redeemable warrant,AJAX.U
Arthur J. Gallagher & Co. Common Stock,AJG
Aerojet Rocketdyne Holdings Inc. Common Stock,AJRD
Great Ajax Corp. Common Stock,AJX
Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,AJXA
Akamai Technologies Inc. Common Stock,AKAM
Akebia Therapeutics Inc. Common Stock,AKBA
Akers Biosciences Inc. Common Stock,AKER
Embotelladora Andina S.A.,AKO/A
Embotelladora Andina S.A.,AKO/B
Acadia Realty Trust Common Stock,AKR
Akero Therapeutics Inc. Common Stock,AKRO
Akoustis Technologies Inc. Common Stock,AKTS
Akari Therapeutics Plc ADR,AKTX
Akumin Inc. Common Shares,AKU
Akouos Inc. Common Stock,AKUS
Air Lease Corporation Class A Common Stock,AL
Air Lease Corporation,AL.PRA
Alberton Acquisition Corporation Ordinary Shares,ALAC
Alberton Acquisition Corporation Rights exp April 26 2021,ALACR
Alberton Acquisition Corporation Unit,ALACU
Alberton Acquisition Corporation Warrant,ALACW
Albemarle Corporation Common Stock,ALB
Albireo Pharma Inc. Common Stock,ALBO
Alcon Inc. Ordinary Shares,ALC
Alico Inc. Common Stock,ALCO
Aldeyra Therapeutics Inc. Common Stock,ALDX
Allete Inc.,ALE
Alector Inc. Common Stock,ALEC
Alexander & Baldwin Inc. Common Stock REIT Holding Company,ALEX
Alamo Group Inc. Common Stock,ALG
Allegro MicroSystems Inc. Common Stock,ALGM
Align Technology Inc. Common Stock,ALGN
Aligos Therapeutics Inc. Common Stock,ALGS
Allegiant Travel Company Common Stock,ALGT
Alimera Sciences Inc. Common Stock,ALIM
Altera Infrastructure L.P.,ALIN.PRA
Altera Infrastructure L.P.,ALIN.PRB
Altera Infrastructure L.P.,ALIN.PRE
Alight Inc.,ALIT
ALJ Regional Holdings Inc. Common Stock,ALJJ
Alaska Air Group Inc. Common Stock,ALK
Alkermes plc Ordinary Shares,ALKS
Allstate Corporation (The) Common Stock,ALL
Allstate Corporation (The),ALL.PRB
Allstate Corporation (The),ALL.PRG
Allstate Corporation (The),ALL.PRH
Allstate Corporation (The),ALL.PRI
Allegion plc Ordinary Shares,ALLE
Allakos Inc. Common Stock,ALLK
Allogene Therapeutics Inc. Common Stock,ALLO
Allot Ltd. Ordinary Shares,ALLT
Ally Financial Inc. Common Stock,ALLY
Ally Financial Inc.,ALLY.PRA
Allena Pharmaceuticals Inc. Common Stock,ALNA
Alnylam Pharmaceuticals Inc. Common Stock,ALNY
AstroNova Inc. Common Stock,ALOT
Alabama Power Company,ALP.PRQ
Alpine Immune Sciences Inc. Common Stock,ALPN
Alarm.com Holdings Inc. Common Stock,ALRM
Aileron Therapeutics Inc. Common Stock,ALRN
Alerus Financial Corporation Common Stock,ALRS
Alaska Communications Systems Group Inc. Common Stock,ALSK
Allison Transmission Holdings Inc. Common Stock,ALSN
Altimmune Inc. Common Stock,ALT
Altabancorp Common Stock,ALTA
Alta Equipment Group Inc. Class A Common Stock,ALTG
Alta Equipment Group Inc. Warrants,ALTG.WS
Altus Midstream Company Class A Common Stock,ALTM
Altair Engineering Inc. Class A Common Stock,ALTR
Altitude Acquisition Corp. Unit,ALTUU
Alussa Energy Acquisition Corp. Class A Ordinary Shares,ALUS
Alussa Energy Acquisition Corp. Units each consisting of one Class A Ordinary Share and one-half of one redeemable warrant,ALUS.U
Alussa Energy Acquisition Corp. Redeemable Warrants each whole warrant exercisable for one Ordinary Share at an exercise price of $11.50,ALUS.WS
Autoliv Inc. Common Stock,ALV
AlloVir Inc. Common Stock,ALVR
Alexander's Inc. Common Stock,ALX
Alexion Pharmaceuticals Inc. Common Stock,ALXN
ALX Oncology Holdings Inc. Common Stock,ALXO
Alithya Group inc. Class A Subordinate Voting Shares,ALYA
Antero Midstream Corporation Common Stock,AM
Amalgamated Bank Class A Common Stock,AMAL
Applied Materials Inc. Common Stock,AMAT
Ambarella Inc. Ordinary Shares,AMBA
Ambac Financial Group Inc. Common Stock,AMBC
Ambac Financial Group Inc. Warrants,AMBC.WS
Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,AMBO
AMC Entertainment Holdings Inc. Class A Common Stock,AMC
AMCI Acquisition Corp. Class A Common Stock,AMCI
AMCI Acquisition Corp. Unit,AMCIU
AMCI Acquisition Corp. Warrant,AMCIW
Amcor plc Ordinary Shares,AMCR
AMC Networks Inc. Class A Common Stock,AMCX
Advanced Micro Devices Inc. Common Stock,AMD
AMETEK Inc.,AME
Amedisys Inc Common Stock,AMED
Apollo Medical Holdings Inc. Common Stock,AMEH
Emles Made in America ETF,AMER
Affiliated Managers Group Inc. Common Stock,AMG
Amgen Inc. Common Stock,AMGN
American Homes 4 Rent Common Shares of Beneficial Interest,AMH
American Homes 4 Rent,AMH.PRD
American Homes 4 Rent,AMH.PRE
American Homes 4 Rent,AMH.PRF
American Homes 4 Rent,AMH.PRG
American Homes 4 Rent,AMH.PRH
Amplitude Healthcare Acquisition Corporation Class A Common Stock,AMHC
Amplitude Healthcare Acquisition Corporation Unit,AMHCU
Amplitude Healthcare Acquisition Corporation Warrants,AMHCW
AssetMark Financial Holdings Inc. Common Stock,AMK
Amkor Technology Inc. Common Stock,AMKR
AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN
American National Bankshares Inc. Common Stock,AMNB
Allied Motion Technologies Inc.,AMOT
America Movil S.A.B. de C.V. Class A American Depositary Shares,AMOV
Ameriprise Financial Inc. Common Stock,AMP
Ampio Pharmaceuticals Inc.,AMPE
Amphastar Pharmaceuticals Inc. Common Stock,AMPH
Amplify Energy Corp. Common Stock,AMPY
American River Bankshares Common Stock,AMRB
Ameresco Inc. Class A Common Stock,AMRC
Ameri Holdings Inc. Common Stock,AMRH
Ameri Holdings Inc. Warrant,AMRHW
A-Mark Precious Metals Inc. Common Stock,AMRK
Amarin Corporation plc,AMRN
Amyris Inc. Common Stock,AMRS
Amneal Pharmaceuticals Inc. Class A Common Stock,AMRX
American Shared Hospital Services Common Stock,AMS
American Superconductor Corporation Common Stock,AMSC
AMERISAFE Inc. Common Stock,AMSF
Amesite Inc. Common Stock,AMST
American Software Inc. Class A Common Stock,AMSWA
American Tower Corporation (REIT) Common Stock,AMT
Amerant Bancorp Inc. Class A Common Stock,AMTB
Amerant Bancorp Inc. Class B Common Stock,AMTBB
Applied Molecular Transport Inc. Common Stock,AMTI
Aemetis Inc. Common Stock,AMTX
American Woodmark Corporation Common Stock,AMWD
American Well Corporation Class A Common Stock,AMWL
America Movil S.A.B. de C.V. American Depository Receipt Series L,AMX
Amryt Pharma plc American Depositary Shares,AMYT
Amazon.com Inc. Common Stock,AMZN
AutoNation Inc. Common Stock,AN
AnaptysBio Inc. Common Stock,ANAB
American National Group Inc. Common Stock,ANAT
Anchiano Therapeutics Ltd. American Depositary Share,ANCN
Andina Acquisition Corp. III Ordinary Shares,ANDA
Andina Acquisition Corp. III Right,ANDAR
Andina Acquisition Corp. III Unit,ANDAU
Andina Acquisition Corp. III Warrant,ANDAW
Andersons Inc. (The) Common Stock,ANDE
Arista Networks Inc. Common Stock,ANET
Abercrombie & Fitch Company Common Stock,ANF
ANGI Homeservices Inc. Class A Common Stock,ANGI
AngioDynamics Inc. Common Stock,ANGO
Anworth Mortgage Asset Corporation Common Stock,ANH
Anworth Mortgage Asset  Corporation,ANH.PRA
Anworth Mortgage Asset  Corporation,ANH.PRB
Anworth Mortgage Asset  Corporation,ANH.PRC
Anika Therapeutics Inc. Common Stock,ANIK
ANI Pharmaceuticals Inc.,ANIP
Anixa Biosciences Inc. Common Stock,ANIX
Annexon Inc. Common Stock,ANNX
AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,ANPC
ANSYS Inc. Common Stock,ANSS
AirNet Technology Inc. American Depositary Shares,ANTE
Anthem Inc. Common Stock,ANTM
Annovis Bio Inc. Common Stock,ANVS
Sphere 3D Corp. Common Shares,ANY
Aberdeen Total Dynamic Dividend Fund Common Stock,AOD
Aon plc Class A Ordinary Shares (Ireland),AON
one Class A Ordinary Shares,AONE
one Units each consisting of one Class A Ordinary Share and one third of one Warrant to acquire one Class A Ordinary Share,AONE.U
one Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,AONE.WS
A.O. Smith Corporation Common Stock,AOS
Alpha and Omega Semiconductor Limited Common Shares,AOSL
American Outdoor Brands Inc. Common Stock ,AOUT
Ampco-Pittsburgh Corporation Common Stock,AP
Ampco-Pittsburgh Corporation Series A Warrants to purchase Shares of common stock,AP.WS
Apache Corporation Common Stock,APA
Artisan Partners Asset Management Inc. Class A Common Stock,APAM
Air Products and Chemicals Inc. Common Stock,APD
Applied DNA Sciences Inc. Common Stock,APDN
American Public Education Inc. Common Stock,APEI
Apollo Endosurgery Inc. Common Stock,APEN
APi Group Corporation Common Stock,APG
Amphenol Corporation Common Stock,APH
Aphria Inc. Common Shares,APHA
Agora Inc. American Depositary Shares,API
Apple Hospitality REIT Inc. Common Shares,APLE
Apellis Pharmaceuticals Inc. Common Stock,APLS
Applied Therapeutics Inc. Common Stock,APLT
Aptorum Group Limited Class A Ordinary Shares,APM
Apollo Global Management Inc. Class A Common Stock,APO
Apollo Global Management Inc,APO.PRA
Apollo Global Management Inc,APO.PRB
Apogee Enterprises Inc. Common Stock,APOG
Cellect Biotechnology Ltd. American Depositary Shares,APOP
Cellect Biotechnology Ltd. Warrants to Purchase ADRs,APOPW
AppFolio Inc. Class A Common Stock,APPF
Appian Corporation Class A Common Stock,APPN
Digital Turbine Inc. Common Stock,APPS
Aprea Therapeutics Inc. Common stock,APRE
Blue Apron Holdings Inc. Class A Common Stock,APRN
Apollo Strategic Growth Capital Class A Ordinary Shares,APSG
Apollo Strategic Growth Capital Units each consisting of one Class A Ordinary Share and one-third Warrant,APSG.U
Apollo Strategic Growth Capital Warrants each exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share,APSG.WS
Alpha Pro Tech Ltd. Common Stock,APT
Aptose Biosciences Inc. Common Shares,APTO
Preferred Apartment Communities Inc. Common Stock,APTS
Aptiv PLC Ordinary Shares,APTV
Aptiv PLC,APTV.PRA
Aptinyx Inc. Common Stock,APTX
Aptevo Therapeutics Inc. Common Stock,APVO
Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),APWC
Apex Technology Acquisition Corporation Class A Common Stock,APXT
Apex Technology Acquisition Corporation Unit,APXTU
Apex Technology Acquisition Corporation Warrant,APXTW
Apyx Medical Corporation Common Stock,APYX
AquaBounty Technologies Inc. Common Stock,AQB
Aqua Metals Inc. Common Stock,AQMS
Algonquin Power & Utilities Corp. Common Shares,AQN
Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,AQNA
Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,AQNB
Aquestive Therapeutics Inc. Common Stock,AQST
Evoqua Water Technologies Corp. Common Stock,AQUA
Antero Resources Corporation Common Stock,AR
American Renal Associates Holdings Inc Common Stock,ARA
Aravive Inc. Common Stock,ARAV
Accuray Incorporated Common Stock,ARAY
Aequi Acquisition Corp. Unit,ARBGU
ARC Document Solutions Inc. Common Stock,ARC
ArcBest Corporation Common Stock,ARCB
Ares Capital Corporation Common Stock,ARCC
Arco Platform Limited Class A Common Shares,ARCE
Arch Resources Inc. Class A Common Stock,ARCH
Arcos Dorados Holdings Inc. Class A Shares,ARCO
Arcturus Therapeutics Holdings Inc. Common Stock,ARCT
Ardagh Group S.A. Common Shares,ARD
Ares Dynamic Credit Allocation Fund Inc. Common Shares,ARDC
Aridis Pharmaceuticals Inc. Common Stock,ARDS
Ardelyx Inc. Common Stock,ARDX
Alexandria Real Estate Equities Inc. Common Stock,ARE
American Resources Corporation Class A Common Stock,AREC
Ares Management Corporation Class A Common Stock,ARES
Ares Management Corporation,ARES.PRA
Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,ARGD
Argo Group International Holdings Ltd.,ARGO
Argo Group International Holdings Ltd.,ARGO.PRA
argenx SE American Depositary Shares,ARGX
Apollo Commercial Real Estate Finance Inc,ARI
Ark Restaurants Corp. Common Stock,ARKR
American Realty Investors Inc. Common Stock,ARL
Arlo Technologies Inc. Common Stock,ARLO
Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,ARLP
Aramark Common Stock,ARMK
Armata Pharmaceuticals Inc. Common Stock,ARMP
Arena Pharmaceuticals Inc. Common Stock,ARNA
Arconic Corporation Common Stock ,ARNC
Archrock Inc. Common Stock,AROC
Arrow Financial Corporation Common Stock,AROW
Aerpio Pharmaceuticals Inc. Common Stock,ARPO
Arcutis Biotherapeutics Inc. Common Stock,ARQT
ARMOUR Residential REIT Inc.,ARR
ARMOUR Residential REIT Inc.,ARR.PRC
Array Technologies Inc. Common Stock,ARRY
Artelo Biosciences Inc. Common Stock,ARTL
Artelo Biosciences Inc. Warrant,ARTLW
Artesian Resources Corporation Class A Common Stock,ARTNA
Art's-Way Manufacturing Co. Inc. Common Stock,ARTW
Arvinas Inc. Common Stock,ARVN
Arrow Electronics Inc. Common Stock,ARW
Arrowhead Pharmaceuticals Inc. Common Stock,ARWR
ARYA Sciences Acquisition Corp III Class A Ordinary Shares,ARYA
ASA  Gold and Precious Metals Limited,ASA
Asana Inc. Class A Common Stock,ASAN
Atlantic Street Acquisition Corp Class A Common Stock,ASAQ
Atlantic Street Acquisition Corp Units each consisting of one share of Class A common stock and one-half of one Warrant,ASAQ.U
Atlantic Street Acquisition Corp Warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50 per share,ASAQ.WS
Associated Banc-Corp Common Stock,ASB
Associated Banc-Corp,ASB.PRC
Associated Banc-Corp,ASB.PRD
Associated Banc-Corp,ASB.PRE
Associated Banc-Corp,ASB.PRF
Ardmore Shipping Corporation Common Stock,ASC
Liberty All-Star Growth Fund Inc.,ASG
Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,ASGI
ASGN Incorporated Common Stock,ASGN
Ashland Global Holdings Inc. Common Stock,ASH
AdvanSix Inc. Common Stock ,ASIX
ASLAN Pharmaceuticals Limited American Depositary Shares,ASLN
Avino Silver & Gold Mines Ltd. Common Shares (Canada),ASM
Assembly Biosciences Inc. Common Stock,ASMB
ASML Holding N.V. New York Registry Shares,ASML
Ascendis Pharma A/S American Depositary Shares,ASND
Academy Sports and Outdoors Inc. Common Stock,ASO
Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares,ASPL
